source	path	disposition	owner_issue	wiki_invariant	verification	rationale
pr71	web/src/user/GraphPanel.tsx	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	web/src/user/SearchPanel.tsx	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	web/src/user/api.test.ts	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	web/src/user/api.ts	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	web/tests-compose/compose-portal.spec.ts	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	web/tests-user/user-portal.spec.ts	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	web/tests/control-portal.spec.ts	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
wiki-gap	gap:complete-predicate-registry	add	#75	versioned predicate registry	contract fixtures and registry tests	PR71 does not fully define the wiki predicate registry and review contract
wiki-gap	gap:transaction-local-team-profile-rls	add	#78	transaction-local RLS context	real PostgreSQL A/B/C RLS tests	PR71 includes partial system/team paths; wiki requires explicit team/profile transaction context
wiki-gap	gap:search-index-generation-activation	add	#80	search and embedding contracts	pgvector generation activation tests	Wiki requires versioned embedding contract/search-index generation activation beyond PR71 storage changes
wiki-gap	gap:correct-entity-resolution	add	#87	owner-scoped correction lifecycle	correction and owner-mutation tests	PR71 lacks the full correct_entity_resolution action set required by the wiki
wiki-gap	gap:memory-pack-v2-pipeline	add	#91	memory packs through official placement	memory-pack import/export tests	PR71 does not finish V2 memory-pack artifacts or official placement routing
wiki-gap	gap:migration-control-plane	add	#92	dormant migration control plane	private control and readiness tests	PR71 has no boot-gated migration control plane
wiki-gap	gap:legacy-corpus-migration	add	#93	read-only Neo4j corpus migration	Neo4j to PostgreSQL migration rehearsal	PR71 does not migrate every current legacy record through official V2 placement
wiki-gap	gap:hard-gated-authority-marker	add	#94	atomic cutover marker	migration cutover rehearsal and crash tests	PR71 switches startup immediately without marker, gates, or rollback boundary
wiki-gap	gap:neo4j-removal-marker-required	add	#95	v2.2 marker-gated removal	static scans and marked-database upgrade tests	PR71 still contains transitional Neo4j and v1 paths after semantic startup
wiki-gap	gap:1k-release-quality-gate	add	#76	deterministic 1k release gate	eval harness regression tests	PR71 evaluation remains observational and does not enforce the approved 1k gate
